valid,lat,lon,name,adm,airport,allairport,alltime,nonairport,nontime,oneairport,onetime,twoairport,twotime,time
true,31.969972,5.340025,Ouargla,DZA,,OGX,,HME,,OGX,,ELG,,9.058023575681302 
true,34.859977,5.730027,Biskra,DZA,,BSK,,ALG,,BSK,,ELG,,9.418879253957707 
true,34.679988,3.250024,Djelfa,DZA,,TID,,ALG,,TID,,ELG,,10.96748348938695 
true,36.180025,5.39997,Setif,DZA,,QSF,,ALG,,QSF,,PNL,,9.142287266838435 
true,42.5146,27.474643,Burgas,BGR,,BOJ,,BOJ,,CND,,TEQ,,8.02547387274443 
true,35.569959,6.17,Batna,DZA,,BLJ,,ALG,,BLJ,,PNL,,9.626938358726294 
true,55.18871,30.18533,Vitsyebsk,BLR,,MSQ,,MSQ,,TAY,,EGO,,10.096339006339871 
true,-24.399972,25.510009,Molepolole,BWA,,GBE,,JNB,,ELL,,GBE,,24.518552223945086 
true,12.454083,98.61149,Myeik,MMR,,MGZ,,BKK,,USM,,TVY,,26.088060547206812 
true,13.470016,144.750017,Agana,GUM,,GUM,,,,GUM,,ROP,,26.392451858831468 
true,18.440023,-66.729994,Arecibo,PRI,,BQN,,PUJ,,BQN,,MAZ,,20.285841253865172 
false,-8.516652,179.216647,Funafuti,TUV,FUN,FUN,,,,,,RTA,, 
false,7.103004,171.38,Majuro,MHL,MAJ,MAJ,,,,,,,, 
false,6.916644,158.149974,Palikir,FSM,PNI,PNI,,,,,,TKK,, 
true,7.487396,134.626548,Melekeok,PLW,,ROR,,,,DVO,,ROR,,28.86307201168503 
true,26.119167,-9.652522,BirLehlou,SAH,,TTA,,AGA,,TTA,,GMZ,,26.02600745736541 
true,43.739646,7.406913,Monaco,MCO,,MCM,,NCE,,MCM,,ANG,,6.217258037840964 
false,65.601869,-37.633737,Tasiilaq,GRL,AGM,AGM,,KEF,,GOH,,KUS,, 
true,-11.704158,43.240244,Moroni,COM,,HAH,,,,HAH,,MYW,,19.99243432686865 
false,1.338188,173.017571,Tarawa,KIR,TRW,TRW,,,,,,,, 
true,22.202997,113.545048,Macau,MAC,,MFM,,HKG,,ZHA,,SZX,,22.716546796903994 
true,42.500001,1.516486,Andorra,AND,,CCF,,CCF,,ILD,,ANG,,8.198889710006686 
false,76.019476,-65.112481,Savissivik,GRL,THU,THU,,,,,,JAV,, 
false,72.37964,-55.549119,Kangersuatsiaq,GRL,JUV,JUV,,,,GOH,,JAV,, 
false,70.675023,-52.122934,Uummannaq,GRL,JQA,JQA,,,,GOH,,JAV,, 
true,-21.250035,-159.750001,Rarotonga,COK,,RAR,,,,RAR,,MGS,,33.43877087179458 
true,28.469979,-16.250001,SantaCruzdeTenerife,ESP,,TFN,,TFS,,TFN,,GMZ,,9.616969006177413 
true,36.971946,-122.02639,SantaCruz,USA,,SJC,,SFO,,MRY,,SJC,,19.56121224765485 
true,23.983741,121.600009,Hualien,TWN,,HUN,,PVG,,TPE,,ISG,,25.440165593461554 
true,25.012778,121.465,NewTaipei,TWN,,TSA,,PVG,,TPE,,FOC,,22.88897114901711 
true,23.000003,120.200043,Tainan,TWN,,TNN,,HKG,,TNN,,XMN,,23.508542562304573 
true,22.755393,121.140037,Taitung,TWN,,TTT,,HKG,,TNN,,ISG,,26.420125895637906 
true,34.120384,-117.300034,SanBernardino,USA,,ONT,,LAX,,ONT,,TIJ,,20.033837380998833 
true,41.179979,-73.199961,Bridgeport,USA,,HVN,,JFK,,HVN,,HPN,,14.501423965745689 
true,43.170426,-77.61995,Rochester,USA,,ROC,,YYZ,,ROC,,IAG,,15.856572101265858 
